STATBL_ID,DTACYCLE_CD,WRTTIME_IDTFR_ID,GRP_ID,GRP_NM,CLS_ID,CLS_NM,ITM_ID,ITM_NM,DTA_VAL,UI_NM,GRP_FULLNM,CLS_FULLNM,ITM_FULLNM,WRTTIME_DESC,지표
A_2024_00682,QY,201001,,,510005,강남지역,100001,투자수익률,3.1,%,,서울>강남지역,투자수익률,2010년 1분기,투자수익률
A_2024_00678,QY,201001,,,510006,기타지역,100001,공실률,11.6,%,,서울>기타지역,공실률,2010년 1분기,공실률
A_2024_00680,QY,201001,,,510006,기타지역,100001,임대료,14.4,천원/㎡,,서울>기타지역,임대료,2010년 1분기,임대료
A_2024_00682,QY,201001,,,510006,기타지역,100001,투자수익률,2.66,%,,서울>기타지역,투자수익률,2010년 1분기,투자수익률
A_2024_00678,QY,201002,,,500002,서울,100001,공실률,7.4,%,,서울,공실률,2010년 2분기,공실률
A_2024_00680,QY,201002,,,500002,서울,100001,임대료,19.3,천원/㎡,,서울,임대료,2010년 2분기,임대료
A_2024_00682,QY,201002,,,500002,서울,100001,투자수익률,2.08,%,,서울,투자수익률,2010년 2분기,투자수익률
A_2024_00678,QY,201002,,,510003,도심지역,100001,공실률,9.4,%,,서울>도심지역,공실률,2010년 2분기,공실률
A_2024_00680,QY,201002,,,510003,도심지역,100001,임대료,21.9,천원/㎡,,서울>도심지역,임대료,2010년 2분기,임대료
A_2024_00682,QY,201002,,,510003,도심지역,100001,투자수익률,1.97,%,,서울>도심지역,투자수익률,2010년 2분기,투자수익률
A_2024_00678,QY,201002,,,510004,여의도마포지역,100001,공실률,4.8,%,,서울>여의도마포지역,공실률,2010년 2분기,공실률
A_2024_00680,QY,201002,,,510004,여의도마포지역,100001,임대료,15.4,천원/㎡,,서울>여의도마포지역,임대료,2010년 2분기,임대료
A_2024_00682,QY,201002,,,510004,여의도마포지역,100001,투자수익률,2.14,%,,서울>여의도마포지역,투자수익률,2010년 2분기,투자수익률
A_2024_00678,QY,201002,,,510005,강남지역,100001,공실률,6.1,%,,서울>강남지역,공실률,2010년 2분기,공실률
A_2024_00680,QY,201002,,,510005,강남지역,100001,임대료,21.1,천원/㎡,,서울>강남지역,임대료,2010년 2분기,임대료
A_2024_00682,QY,201002,,,510005,강남지역,100001,투자수익률,2.1,%,,서울>강남지역,투자수익률,2010년 2분기,투자수익률
