STATBL_ID,DTACYCLE_CD,WRTTIME_IDTFR_ID,GRP_ID,GRP_NM,CLS_ID,CLS_NM,ITM_ID,ITM_NM,DTA_VAL,UI_NM,GRP_FULLNM,CLS_FULLNM,ITM_FULLNM,WRTTIME_DESC,지역,지표
A_2024_00678,QY,200901,,,520031,충정로지역,100001,공실률,1.7,%,,서울>기타지역>충정로지역,공실률,2009년 1분기,Others_충정로,공실률
A_2024_00680,QY,200901,,,520032,노원지역,100001,임대료,10.4,천원/㎡,,서울>기타지역>노원지역,임대료,2009년 1분기,Others_노원,임대료
A_2024_00678,QY,200901,,,520032,노원지역,100001,공실률,2.1,%,,서울>기타지역>노원지역,공실률,2009년 1분기,Others_노원,공실률
A_2024_00680,QY,200901,,,520033,동대문성동지역,100001,임대료,9.8,천원/㎡,,서울>기타지역>동대문성동지역,임대료,2009년 1분기,Others_동대문성동,임대료
A_2024_00678,QY,200901,,,520033,동대문성동지역,100001,공실률,5.7,%,,서울>기타지역>동대문성동지역,공실률,2009년 1분기,Others_동대문성동,공실률
A_2024_00680,QY,200901,,,520034,용산지역,100001,임대료,19.6,천원/㎡,,서울>기타지역>용산지역,임대료,2009년 1분기,Others_용산,임대료
A_2024_00678,QY,200901,,,520034,용산지역,100001,공실률,18.2,%,,서울>기타지역>용산지역,공실률,2009년 1분기,Others_용산,공실률
A_2024_00680,QY,200901,,,520035,강서목동지역,100001,임대료,11.5,천원/㎡,,서울>기타지역>강서목동지역,임대료,2009년 1분기,Others_목동,임대료
A_2024_00678,QY,200901,,,520035,강서목동지역,100001,공실률,5.5,%,,서울>기타지역>강서목동지역,공실률,2009년 1분기,Others_목동,공실률
A_2024_00680,QY,200901,,,520036,구로지역,100001,임대료,9.8,천원/㎡,,서울>기타지역>구로지역,임대료,2009년 1분기,Others_구로,임대료
A_2024_00678,QY,200901,,,520036,구로지역,100001,공실률,12.4,%,,서울>기타지역>구로지역,공실률,2009년 1분기,Others_구로,공실률
A_2024_00680,QY,200901,,,520037,사당지역,100001,임대료,10,천원/㎡,,서울>기타지역>사당지역,임대료,2009년 1분기,Others_사당,임대료
A_2024_00678,QY,200901,,,520037,사당지역,100001,공실률,5,%,,서울>기타지역>사당지역,공실률,2009년 1분기,Others_사당,공실률
A_2024_00680,QY,200901,,,520038,천호지역,100001,임대료,10.6,천원/㎡,,서울>기타지역>천호지역,임대료,2009년 1분기,Others_천호,임대료
A_2024_00678,QY,200901,,,520038,천호지역,100001,공실률,14.9,%,,서울>기타지역>천호지역,공실률,2009년 1분기,Others_천호,공실률
A_2024_00680,QY,200902,,,500002,서울,100001,임대료,18.9,천원/㎡,,서울,임대료,2009년 2분기,서울전체,임대료
A_2024_00678,QY,200902,,,500002,서울,100001,공실률,6.7,%,,서울,공실률,2009년 2분기,서울전체,공실률
A_2024_00680,QY,200902,,,510003,도심지역,100001,임대료,21.6,천원/㎡,,서울>도심지역,임대료,2009년 2분기,CBD,임대료
A_2024_00678,QY,200902,,,510003,도심지역,100001,공실률,6,%,,서울>도심지역,공실률,2009년 2분기,CBD,공실률
A_2024_00680,QY,200902,,,510004,여의도마포지역,100001,임대료,15,천원/㎡,,서울>여의도마포지역,임대료,2009년 2분기,YBD,임대료
